Subject,Activity,MAE,RMSE,MAPE,R2,Pearson r,??5bpm (%),NaN (%)
P08,meditation-1,1.94,2.43,3.37,-3.07,0.22,94.4,0
P08,meditation-2,5.45,20.3,9.12,-98.93,-0.04,81.4,1.41
P08,rest-1,3.52,4.16,5.67,-49.31,0.3,65.4,0
P08,rest-2,6.98,17.56,10.69,-1509.92,-0.08,69.2,0
P08,rest-3,7.39,8.99,10.46,-9.17,0.01,34.6,0
P08,rest-4,8.04,8.5,11.19,-6.65,0.59,11.5,0
P08,rest-5,40.1,40.84,29.57,-6.82,0.86,0,0
P08,screen-reading,2.26,2.73,3.78,-25.71,-0.01,92.7,0
P08,standing,5.27,8.14,7.69,-21.03,-0.66,61,0
P09,keyboard-typing,9.08,11.23,12.02,-68.95,0.02,31.7,0
P09,mobile-typing,4.07,5.99,5.55,-26.28,0.09,75.6,0
P09,ssst-sing,5.85,6.63,7.09,-1637.84,-0.96,25,0
P09,jogging,31.44,33.9,33.98,-4.77,-0.02,3.8,0
P09,running,57.82,60.38,61.99,-312.74,-0.7,0,0
P09,walking,14.84,22.14,16.72,-89.68,0.62,23.1,0
P09,meditation-1,3.45,4.24,4.32,-1.37,0.19,73.2,0
P09,meditation-2,5.5,6.64,7.53,-1.4,0.04,47.9,0
P09,rest-1,3.95,4.55,5.25,-135.41,-0.22,65.4,0
P09,rest-2,10.79,12.11,13.99,-12.43,-0.91,11.5,0
P09,rest-3,18.36,49.59,24.91,-1130.84,-0.26,30.8,0
P09,rest-4,25.99,27.98,24.7,-53.08,0.61,3.8,0
P09,rest-5,22.76,24.5,16.07,-12.28,0.78,3.8,0
P09,screen-reading,4.7,5.77,6.23,-9.76,-0.39,58.5,0
P09,standing,9.5,14.53,11.68,-41.36,0.49,34.1,0
P10,keyboard-typing,59.48,72.25,85.32,-1061.63,0.07,0,0
P10,mobile-typing,9.74,12.11,13.18,-95.72,0.32,33.3,0
P10,ssst-sing,18.4,19.66,21.29,-18098.63,-0.94,0,0
P10,jogging,39.56,55.58,50.28,-218.11,0.39,11.1,0
P10,running,75.15,152.22,71.3,-136.51,-0.12,11.1,0
P10,walking,26.8,27.45,30.99,-18.15,0.44,0,0
P10,meditation-1,7.68,9.81,8.96,-1.92,0.09,44.4,0
P10,meditation-2,9.67,15.78,12.2,-27.51,-0.49,52.1,1.39
P10,rest-1,9.13,11.53,11.67,-118.86,0.33,38.5,0
P10,rest-2,10.54,14.83,13.44,-15.89,0,42.3,3.7
P10,rest-3,9.54,11.56,10.39,-61.61,-0.15,25.9,0
P10,rest-4,16.33,18.01,14.84,-22.86,0.2,11.1,0
P10,rest-5,38.45,45.05,51.4,-16.09,-0.42,11.3,1.39
P10,screen-reading,7.08,9.93,8.83,-14.29,-0.34,54.8,0
P10,standing,9.5,13.73,11.75,-7.64,0.2,45.2,0
P11,keyboard-typing,64.96,74.56,103.39,-355.8,0.09,0,0
P11,mobile-typing,21.81,28.38,29.58,-113.35,0.01,16.7,0
P11,ssst-sing,32.63,33.1,39.12,-1999.19,-0.2,0,0
P11,jogging,10.17,13.96,12.36,-35.21,0.18,40.7,0
P11,running,3.16,3.53,3.58,-25.17,-0.06,84.6,0
P11,walking,55.87,66.34,63.58,-219.01,0.38,0,0
P11,meditation-1,7.72,17.64,9.9,-217.86,-0.36,63.4,0
P11,meditation-2,11.96,32.24,17.21,-37.17,-0.08,67.6,4.23
P11,rest-1,9.62,17.29,13.37,-10.66,-0.01,55.6,0
P11,rest-2,15.97,17.75,20.84,-111.11,-0.1,3.7,0
P11,rest-3,18.78,28.32,20.48,-134.99,-0.25,34.6,0
P11,rest-4,16.17,19.06,16.55,-41.42,0.08,11.1,0
P11,rest-5,37.2,43.34,43.71,-15.02,-0.83,14.8,0
P11,screen-reading,4.5,5.78,5.01,-1.92,-0.09,63.4,0
P11,standing,14,17.18,16.64,-11.59,0.22,9.5,0
P12,keyboard-typing,10.28,12.94,11.31,-5.69,0.1,35.7,0
P12,mobile-typing,4.09,5.25,5.51,-4.35,0,66.7,0
P12,ssst-sing,13.38,18.17,14.28,-453.31,-0.8,50,0
P12,jogging,29.12,35.63,30.77,-9.63,0.5,14.8,0
P12,running,62.04,101.65,62.57,-47.42,0,7.4,0
P12,walking,30.09,42.4,35.2,-184.11,-0.18,11.1,0
P12,meditation-1,5.27,6.63,6.59,-1.6,-0.03,52.1,0
P12,meditation-2,5.02,7.22,6.1,-13.82,0,68.1,0
P12,rest-1,7.36,11.12,10.73,-2.28,-0.57,54.4,0
P12,rest-2,5.33,6.45,6.74,-7.03,-0.27,50,0
P12,rest-3,10.87,12.28,13.1,-32.85,-0.76,14.3,0
P12,rest-4,8.9,11.48,9.24,-1.89,0.63,39.4,0
P12,rest-5,26.72,27.82,20.48,-5.72,0.77,0,0
P12,screen-reading,11.61,12.81,13.27,-2.14,-0.22,14.3,0
P12,standing,7.17,9.09,9.08,-4,-0.1,42.9,0
P13,keyboard-typing,14.16,22.6,15.11,-148.16,0.17,26.2,0
P13,mobile-typing,9.69,13.28,10.92,-8.51,0.03,35.7,0
P13,ssst-sing,15.38,19.09,14.78,-60847.68,0.55,25,0
P13,jogging,25.76,35.09,26.51,-12.02,0.26,11.1,0
P13,running,25.7,42.81,30.53,-1015.38,-0.01,48.1,0
P13,walking,45.63,61.87,51.75,-226.38,-0.41,7.4,0
P13,meditation-1,5.07,6.88,4.93,-11.42,-0.35,56.9,0
P13,meditation-2,5.95,7.28,6.1,-2.09,0.26,43.1,0
P13,rest-2,3.33,5.26,3.55,-16.49,-0.54,77.8,0
P13,rest-3,6.03,7.16,5.91,-0.91,0.62,48.1,0
P13,rest-4,5.78,7.86,5.94,-47.33,0.79,63,0
P13,rest-5,16.61,19.55,11.86,-26.64,0.55,18.2,0
P13,screen-reading,4.08,5.07,4.01,-53.64,-0.49,71.4,0
P13,standing,8.04,9.54,7.66,-2.51,0.59,35.7,0
P14,keyboard-typing,13.44,20.25,16.53,-146.91,-0.28,35.7,0
P14,mobile-typing,10.5,12.15,15.17,-19.05,0.08,19,0
P14,ssst-sing,9.13,9.55,10.04,-13780.73,-0.69,0,0
P14,jogging,7.93,14.05,10.74,-245.88,0.03,55.6,0
P14,running,9.97,13.8,12.53,-21.75,-0.34,40.7,0
P14,walking,42.31,52.2,51.87,-246.46,0.4,3.8,3.7
P14,meditation-1,5.27,6.91,6.74,-21.16,-0.16,59.2,0
P14,meditation-2,3.85,5.22,4.91,-6.77,-0.16,73.2,0
P14,rest-1,8.55,9.84,11.99,-1.81,0.47,40.7,0
P14,rest-2,7.21,13.73,9.22,-816.91,-0.26,70.4,0
P14,rest-3,11.24,13.35,12.32,-13.31,0.04,29.6,0
P14,rest-4,14.61,16.87,15.05,-2.71,0.27,11.1,0
P14,rest-5,19.95,23.71,26.38,-4883.5,0.71,11.1,0
P14,screen-reading,5.31,7.19,6.19,-4.2,0.26,57.1,0
P14,standing,21,89.61,24.75,-2862.21,-0.14,66.7,0
P15,keyboard-typing,39.11,54.13,40.86,-15.64,0.31,11.6,2.27
P15,mobile-typing,14.11,28.13,16.4,-298.48,0.33,31.8,0
P15,ssst-sing,8.54,10.59,10.28,-5494.36,-0.53,40,0
P15,jogging,70.48,131.16,76.88,-160.09,-0.33,7.4,0
P15,running,52.9,70.95,59.85,-1172.46,-0.2,11.1,0
